link_id,from_node_id,to_node_id,volume,capacity,DC_ratio,congestion_duration_minutes
1,674,3410,0,99999,0,0
2,674,3411,0,99999,0,0
3,675,3416,0,99999,0,0
4,750,3412,0,99999,0,0
5,750,3413,0,99999,0,0
6,826,3412,0,99999,0,0
7,1075,3411,0,99999,0,0
8,1812,3424,0,99999,0,0
9,1827,3420,96,99999,0.00096001,0
10,1827,3421,0,99999,0,0
11,1827,3422,9.3333,99999,9.33E-05,0
12,1827,3425,0,99999,0,0
13,1836,3414,0,99999,0,0
14,1836,3415,37.3333,99999,0.000373337,0
15,1836,3418,0,99999,0,0
16,1836,3419,0,99999,0,0
17,3409,3417,0,99999,0,0
18,3409,3423,36,99999,0.000360004,0
19,3410,674,0,99999,0,0
20,3411,674,0,99999,0,0
21,3411,3432,7132.12,6900,1.03364058,0
22,3411,1075,0,99999,0,0
23,3412,750,0,99999,0,0
24,3412,3444,6157.83,9200,0.669329348,0
25,3412,826,0,99999,0,0
26,3413,750,0,99999,0,0
27,3414,1836,18.6667,99999,0.000186669,0
28,3415,1836,0,99999,0,0
29,3415,3428,37.3333,5400,0.006913574,0
30,3416,675,126.6667,99999,0.00126668,0
31,3417,3409,0,99999,0,0
32,3418,1836,0,99999,0,0
33,3419,1836,0,99999,0,0
34,3419,3446,0,5400,0,0
35,3420,1827,0,99999,0,0
36,3420,3460,96,5400,0.017777778,0
37,3421,1827,26.6667,99999,0.00026667,0
38,3422,1827,0,99999,0,0
39,3422,3461,9.3333,3600,0.002592583,0
40,3423,3409,0,99999,0,0
41,3423,3452,36,5400,0.006666667,0
42,3424,1812,0,99999,0,0
43,3424,3453,0,5400,0,0
44,3425,1827,6.6667,99999,6.67E-05,0
45,3426,3427,126.6667,1800,0.070370389,0
46,3426,3435,6157.83,6900,0.89243913,0
47,3427,3454,126.6667,5400,0.023456796,0
48,3428,3429,37.3333,3600,0.010370361,0
49,3429,3471,37.3333,1800,0.020740722,0
50,3430,3431,9.3333,3600,0.002592583,0
51,3431,3476,9.3333,1800,0.005185167,0
52,3432,3433,0,1800,0,0
53,3432,3481,7132.12,6900,1.03364058,0
54,3433,3483,0,3600,0,0
55,3434,3435,0,1800,0,0
56,3435,3410,6157.83,6900,0.89243913,0
57,3436,3437,6.6667,1800,0.003703722,0
58,3436,3449,6188.4967,6900,0.89688358,0
59,3437,3470,6.6667,3600,0.001851861,0
60,3438,3439,36,3600,0.01,0
61,3439,3481,36,1800,0.02,0
62,3440,3441,26.6667,1800,0.014814833,0
63,3440,3478,7141.4533,9200,0.776244924,0
64,3441,3486,26.6667,5400,0.004938278,0
65,3442,3443,96,1800,0.053333333,0
66,3443,3480,6284.4967,6900,0.910796623,0
67,3444,3445,0,1800,0,0
68,3444,3450,6157.83,9200,0.669329348,0
69,3445,3451,0,3600,0,0
70,3446,3447,0,1800,0,0
71,3447,3448,0,1800,0,0
72,3448,3413,7132.12,9200,0.775230435,0
73,3449,3443,6188.4967,6900,0.89688358,0
74,3450,3474,6157.83,9200,0.669329348,0
75,3451,3467,0,5400,0,0
76,3452,3463,36,5400,0.006666667,0
77,3453,3464,0,5400,0,0
78,3454,3482,126.6667,3600,0.035185194,0
79,3455,3468,0,5400,0,0
80,3456,3457,7132.12,9200,0.775230435,0
81,3456,3458,18.6667,1800,0.010370389,0
82,3457,3487,7132.12,9200,0.775230435,0
83,3458,3459,18.6667,5400,0.003456796,0
84,3459,3414,18.6667,5400,0.003456796,0
85,3460,3462,96,5400,0.017777778,0
86,3461,3430,9.3333,5400,0.001728389,0
87,3462,3442,96,3600,0.026666667,0
88,3463,3438,36,5400,0.006666667,0
89,3464,3434,0,3600,0,0
90,3465,3425,6.6667,5400,0.001234574,0
91,3466,3421,26.6667,3600,0.007407417,0
92,3467,3418,0,5400,0,0
93,3468,3417,0,5400,0,0
94,3469,3416,126.6667,5400,0.023456796,0
95,3470,3465,6.6667,5400,0.001234574,0
96,3471,3472,6195.1633,6900,0.897849754,0
97,3472,3485,6195.1633,6900,0.897849754,0
98,3473,3471,6157.83,9200,0.669329348,0
99,3474,3475,6157.83,9200,0.669329348,0
100,3475,3473,6157.83,9200,0.669329348,0
101,3476,3477,7150.7867,9200,0.777259424,0
102,3477,3484,7150.7867,9200,0.777259424,0
103,3478,3476,7141.4533,9200,0.776244924,0
104,3479,3440,7168.12,6900,1.038857971,0
105,3480,3426,6284.4967,6900,0.910796623,0
106,3481,3479,7168.12,6900,1.038857971,0
107,3482,3469,126.6667,5400,0.023456796,0
108,3483,3455,0,5400,0,0
109,3484,3456,7150.7867,9200,0.777259424,0
110,3485,3436,6195.1633,6900,0.897849754,0
111,3486,3466,26.6667,5400,0.004938278,0
112,3487,3448,7132.12,9200,0.775230435,0
