link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_in_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,link_type_name,is_link,from_biway
1,,,674,3410,,"LINESTRING (-112.1103388 33.5204706, -112.112194 33.5203264)",1,173.09,,0,90,1,99999,,0,0.15,4,1,0.11,55,55,0.12,,,,,connector,0,1
2,,,674,3411,,"LINESTRING (-112.1103388 33.5204706, -112.1124213 33.5203305)",1,194.09,,0,90,1,99999,,0,0.15,4,1,0.12,55,55,0.13,,,,,connector,0,1
3,,,675,3416,,"LINESTRING (-112.1094565 33.50585793, -112.111895 33.5094537)",1,458.68,,0,90,1,99999,,0,0.15,4,1,0.29,55,55,0.31,,,,,connector,0,1
4,,,750,3412,,"LINESTRING (-112.1140853 33.46891368, -112.1124714 33.472198)",1,393.96,,0,90,1,99999,,0,0.15,4,1,0.24,55,55,0.26,,,,,connector,0,1
5,,,750,3413,,"LINESTRING (-112.1140853 33.46891368, -112.1124594 33.4713908)",1,313.57,,0,90,1,99999,,0,0.15,4,1,0.19,55,55,0.21,,,,,connector,0,1
6,,,826,3412,,"LINESTRING (-112.1067075 33.46753849, -112.1124714 33.472198)",1,744.41,,0,90,1,99999,,0,0.15,4,1,0.46,55,55,0.5,,,,,connector,0,1
7,,,1075,3411,,"LINESTRING (-112.11464643522936 33.52042827269397, -112.1124213 33.5203305)",1,173.09,,0,90,1,99999,,0,0.15,4,1,0.12,55,55,0.12,,,,,connector,0,1
8,,,1812,3424,,"LINESTRING (-112.1093467 33.51316595, -112.111892 33.5096192)",1,458.99,,0,90,1,99999,,0,0.15,4,1,0.29,55,55,0.31,,,,,connector,0,1
9,,,1827,3420,,"LINESTRING (-112.1107176 33.49861175, -112.112604 33.4951203)",1,425.08,,0,90,1,99999,,0,0.15,4,1,0.26,55,55,0.28,,,,,connector,0,1
10,,,1827,3421,,"LINESTRING (-112.1107176 33.49861175, -112.113489 33.4951089)",1,466.12,,0,90,1,99999,,0,0.15,4,1,0.29,55,55,0.31,,,,,connector,0,1
11,,,1827,3422,,"LINESTRING (-112.1107176 33.49861175, -112.113472 33.4948661)",1,487.96,,0,90,1,99999,,0,0.15,4,1,0.3,55,55,0.33,,,,,connector,0,1
12,,,1827,3425,,"LINESTRING (-112.1107176 33.49861175, -112.112605 33.4948665)",1,450.91,,0,90,1,99999,,0,0.15,4,1,0.28,55,55,0.3,,,,,connector,0,1
13,,,1836,3414,,"LINESTRING (-112.1093666 33.48401431, -112.113639 33.4806374)",1,545.85,,0,90,1,99999,,0,0.15,4,1,0.34,55,55,0.36,,,,,connector,0,1
14,,,1836,3415,,"LINESTRING (-112.1093666 33.48401431, -112.112607 33.4806647)",1,478.25,,0,90,1,99999,,0,0.15,4,1,0.3,55,55,0.32,,,,,connector,0,1
15,,,1836,3418,,"LINESTRING (-112.1093666 33.48401431, -112.112602 33.4805078)",1,491.61,,0,90,1,99999,,0,0.15,4,1,0.31,55,55,0.33,,,,,connector,0,1
16,,,1836,3419,,"LINESTRING (-112.1093666 33.48401431, -112.113648 33.4804871)",1,558.02,,0,90,1,99999,,0,0.15,4,1,0.35,55,55,0.37,,,,,connector,0,1
17,,,3409,3417,,"LINESTRING (-112.1146981 33.51315275, -112.1129176 33.5095744)",1,429.98,,0,90,1,99999,,0,0.15,4,1,0.27,55,55,0.29,,,,,connector,0,1
18,,,3409,3423,,"LINESTRING (-112.1146981 33.51315275, -112.1129128 33.5094146)",1,446.56,,0,90,1,99999,,0,0.15,4,1,0.28,55,55,0.3,,,,,connector,0,1
19,,,3410,674,,"LINESTRING (-112.112194 33.5203264, -112.1103388 33.5204706)",1,173.09,,0,90,1,99999,,0,0.15,4,1,0.11,55,55,0.12,,,,,connector,0,1
20,,,3411,674,,"LINESTRING (-112.1124213 33.5203305, -112.1103388 33.5204706)",1,194.09,,0,90,1,99999,,0,0.15,4,1,0.12,55,55,0.13,,,,,connector,0,1
21,Black Canyon Freeway,528438528,3411,3432,1,"LINESTRING (-112.1124213 33.5203305,-112.112487 33.5136659)",1,741.09,motorway,1,105,5,2300,,0,0.15,4,1,0.46,65,65,0.42,7132.12,,,,,,
22,,,3411,1075,,"LINESTRING (-112.1124213 33.5203305, -112.11464643522936 33.52042827269397)",1,173.09,,0,90,1,99999,,0,0.15,4,1,0.11,55,55,0.12,,,,,connector,0,1
23,,,3412,750,,"LINESTRING (-112.1124714 33.472198, -112.1140853 33.46891368)",1,393.96,,0,90,1,99999,,0,0.15,4,1,0.24,55,55,0.26,,,,,connector,0,1
24,Black Canyon Freeway,32736595,3412,3444,1,"LINESTRING (-112.1124714 33.472198,-112.1126087 33.4726941,-112.1127129 33.4731201,-112.1127869 33.4734747,-112.1128492 33.4738163,-112.1129056 33.4741848)",1,224.71,motorway,1,105,6,2300,,0,0.15,4,1,0.14,65,65,0.13,5528.17,,,,,,
25,,,3412,826,,"LINESTRING (-112.1124714 33.472198, -112.1067075 33.46753849)",1,744.41,,0,90,1,99999,,0,0.15,4,1,0.46,55,55,0.5,,,,,connector,0,1
26,,,3413,750,,"LINESTRING (-112.1124594 33.4713908, -112.1140853 33.46891368)",1,313.57,,0,90,1,99999,,0,0.15,4,1,0.19,55,55,0.21,,,,,connector,0,1
27,,,3414,1836,,"LINESTRING (-112.113639 33.4806374, -112.1093666 33.48401431)",1,545.85,,0,90,1,99999,,0,0.15,4,1,0.34,55,55,0.36,,,,,connector,0,1
28,,,3415,1836,,"LINESTRING (-112.112607 33.4806647, -112.1093666 33.48401431)",1,478.25,,0,90,1,99999,,0,0.15,4,1,0.3,55,55,0.32,,,,,connector,0,1
29,North Black Canyon Highway,172999576,3415,3428,1,"LINESTRING (-112.112607 33.4806647,-112.1126096 33.4807548,-112.11264 33.4810658,-112.1126594 33.4812864,-112.1127014 33.4817316,-112.112719 33.481918)",1,139.76,secondary,4,64,3,2300,,0,0.15,4,1,0.09,40,40,0.13,,,,,,,
30,,,3416,675,,"LINESTRING (-112.111895 33.5094537, -112.1094565 33.50585793)",1,458.68,,0,90,1,99999,,0,0.15,4,1,0.29,55,55,0.31,,,,,connector,0,1
31,,,3417,3409,,"LINESTRING (-112.1129176 33.5095744, -112.1146981 33.51315275)",1,429.98,,0,90,1,99999,,0,0.15,4,1,0.27,55,55,0.29,,,,,connector,0,1
32,,,3418,1836,,"LINESTRING (-112.112602 33.4805078, -112.1093666 33.48401431)",1,491.61,,0,90,1,99999,,0,0.15,4,1,0.31,55,55,0.33,,,,,connector,0,1
33,,,3419,1836,,"LINESTRING (-112.113648 33.4804871, -112.1093666 33.48401431)",1,558.02,,0,90,1,99999,,0,0.15,4,1,0.35,55,55,0.37,,,,,connector,0,1
34,North Black Canyon Highway,172999577,3419,3446,1,"LINESTRING (-112.113648 33.4804871,-112.1136561 33.4803681,-112.113662 33.4801076,-112.1136403 33.4794916,-112.1135853 33.4791114,-112.1135489 33.4786598,-112.1135366 33.4781133,-112.1135284 33.477427,-112.113514 33.4768519)",1,404.72,trunk,2,64,3,2300,,0,0.15,4,1,0.25,40,40,0.38,,,,,,,
35,,,3420,1827,,"LINESTRING (-112.112604 33.4951203, -112.1107176 33.49861175)",1,425.08,,0,90,1,99999,,0,0.15,4,1,0.26,55,55,0.28,,,,,connector,0,1
36,North Black Canyon Highway,252080783,3420,3460,1,"LINESTRING (-112.112604 33.4951203,-112.112604 33.4952416,-112.1126028 33.4954211)",1,33.45,secondary,4,64,3,2300,,0,0.15,4,1,0.02,40,40,0.03,,,,,,,
37,,,3421,1827,,"LINESTRING (-112.113489 33.4951089, -112.1107176 33.49861175)",1,466.12,,0,90,1,99999,,0,0.15,4,1,0.29,55,55,0.31,,,,,connector,0,1
38,,,3422,1827,,"LINESTRING (-112.113472 33.4948661, -112.1107176 33.49861175)",1,487.96,,0,90,1,99999,,0,0.15,4,1,0.3,55,55,0.33,,,,,connector,0,1
39,North Black Canyon Highway,252080788,3422,3461,1,"LINESTRING (-112.113472 33.4948661,-112.1134634 33.4947344,-112.1134512 33.4945572)",1,34.4,secondary,4,105,3,2300,,0,0.15,4,1,0.02,65,65,0.02,,,,,,,
40,,,3423,3409,,"LINESTRING (-112.1129128 33.5094146, -112.1146981 33.51315275)",1,446.56,,0,90,1,99999,,0,0.15,4,1,0.28,55,55,0.3,,,,,connector,0,1
41,North Black Canyon Highway,407188898,3423,3452,1,"LINESTRING (-112.1129128 33.5094146,-112.1129081 33.5092572,-112.1129036 33.5091094,-112.1129033 33.5090986,-112.1128962 33.5088633)",1,61.32,secondary,4,64,3,2300,,0,0.15,4,1,0.04,40,40,0.06,,,,,,,
42,,,3424,1812,,"LINESTRING (-112.111892 33.5096192, -112.1093467 33.51316595)",1,458.99,,0,90,1,99999,,0,0.15,4,1,0.29,55,55,0.31,,,,,connector,0,1
43,North Black Canyon Highway,407188897,3424,3453,1,"LINESTRING (-112.111892 33.5096192,-112.111894 33.5097578,-112.1118984 33.5100197,-112.1119104 33.5101105)",1,54.7,secondary,4,64,3,2300,,0,0.15,4,1,0.03,40,40,0.05,,,,,,,
44,,,3425,1827,,"LINESTRING (-112.112605 33.4948665, -112.1107176 33.49861175)",1,450.91,,0,90,1,99999,,0,0.15,4,1,0.28,55,55,0.3,,,,,connector,0,1
