iteration_no,link_id,vdf_type,from_node_id,to_node_id,length_meter,vdf_length_mi,vehicle_volume,person_volume,ref_vhc_olume,base_demand_volume,obs_volume,background_volume,link_capacity,lane_capacity,D,doc,vdf_fftt,travel_time,vdf_distance_factor,vdf_alpha,vdf_beta,vdf_plf,speed_mph,speed_kmph,VMT,VHT,PMT,PHT,VHT_QVDF,PHT_QVDF,geometry,mod_vol_auto,obs_vol_auto,P,t0,t2,t3,vt2_mph,vt2_kmph,mu,Q_gamma,free_speed_mph,cutoff_speed_mph,free_speed_kmph,cutoff_speed_kmph,congestion_ref_speed_mph,avg_queue_speed_mph,avg_QVDF_period_speed_mph,congestion_ref_speed_kmph,avg_queue_speed_kmph,avg_QVDF_period_speed_kmph,avg_QVDF_period_travel_time,Severe_Congestion_P,spd_mph_14:00,spd_mph_14:05,spd_mph_14:10,spd_mph_14:15,spd_mph_14:20,spd_mph_14:25,spd_mph_14:30,spd_mph_14:35,spd_mph_14:40,spd_mph_14:45,spd_mph_14:50,spd_mph_14:55,spd_mph_15:00,spd_mph_15:05,spd_mph_15:10,spd_mph_15:15,spd_mph_15:20,spd_mph_15:25,spd_mph_15:30,spd_mph_15:35,spd_mph_15:40,spd_mph_15:45,spd_mph_15:50,spd_mph_15:55,spd_mph_16:00,spd_mph_16:05,spd_mph_16:10,spd_mph_16:15,spd_mph_16:20,spd_mph_16:25,spd_mph_16:30,spd_mph_16:35,spd_mph_16:40,spd_mph_16:45,spd_mph_16:50,spd_mph_16:55,spd_mph_17:00,spd_mph_17:05,spd_mph_17:10,spd_mph_17:15,spd_mph_17:20,spd_mph_17:25,spd_mph_17:30,spd_mph_17:35,spd_mph_17:40,spd_mph_17:45,spd_mph_17:50,spd_mph_17:55,
10,1,0,674,3414,176.9900,0.1100,0.0000,0.0000,0.0000,0.0000,-1.0000,0.0000,99999.0000,99999.0000,0.0000,0.0000,0.1200,0.1200,0.0000,0.1500,4.0000,0.2155,55.0000,88.4950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-112.1103388 33.5204706, -112.112194 33.5203264)",0.000000,-1.000000,0.000000,16.000000,16.000000,16.000000,41.951523,67.500000,0.000000,nan,55.935364,41.951523,90.000000,67.500000,55.935364,55.935364,55.935364,90.000000,90.000000,90.000000,0.117993,0.000000,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,nan,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,
10,2,0,674,3415,193.0800,0.1200,25.3333,25.3333,0.0000,0.0000,-1.0000,0.0000,99999.0000,99999.0000,29.3890,0.0003,0.1300,0.1300,0.0000,0.1500,4.0000,0.2155,55.3846,89.1138,3.040000,0.054889,3.040000,0.054889,0.054350,0.054350,"LINESTRING (-112.1103388 33.5204706, -112.1124213 33.5203305)",25.333332,-1.000000,0.000294,15.999853,16.000000,16.000147,41.951523,67.500000,2938.901624,18025413464551752.000000,55.935364,41.951523,90.000000,67.500000,55.931254,55.931254,55.933309,89.993388,89.993388,89.996694,0.128725,0.000000,55.935,55.935,55.935,55.935,55.935,55.935,55.934,55.934,55.934,55.934,55.934,55.933,55.933,55.933,55.933,55.933,55.933,55.932,55.932,55.932,55.932,55.932,55.932,55.931,41.952,55.931,55.932,55.932,55.932,55.932,55.932,55.932,55.933,55.933,55.933,55.933,55.933,55.933,55.934,55.934,55.934,55.934,55.934,55.935,55.935,55.935,55.935,55.935,
10,3,0,675,3420,466.6100,0.2900,0.0000,0.0000,0.0000,0.0000,-1.0000,0.0000,99999.0000,99999.0000,0.0000,0.0000,0.3100,0.3100,0.0000,0.1500,4.0000,0.2155,56.1290,90.3116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-112.1094565 33.50585793, -112.111895 33.5094537)",0.000000,-1.000000,0.000000,16.000000,16.000000,16.000000,41.951523,67.500000,0.000000,nan,55.935364,41.951523,90.000000,67.500000,55.935364,55.935364,55.935364,90.000000,90.000000,90.000000,0.311073,0.000000,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,nan,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,
10,4,0,750,3416,386.1600,0.2400,73.3333,73.3333,0.0000,0.0000,-1.0000,0.0000,99999.0000,99999.0000,85.0735,0.0009,0.2600,0.2600,0.0000,0.1500,4.0000,0.2155,55.3846,89.1138,17.599999,0.317778,17.599999,0.317778,0.314682,0.314682,"LINESTRING (-112.1140853 33.46891368, -112.1124714 33.472198)",73.333328,-1.000000,0.000851,15.999575,16.000000,16.000425,41.951523,67.500000,8507.346636,1485615712341440.500000,55.935364,41.951523,90.000000,67.500000,55.923467,55.923467,55.929414,89.980859,89.980859,89.990427,0.257467,0.000000,55.935,55.935,55.934,55.934,55.933,55.933,55.932,55.932,55.931,55.931,55.930,55.930,55.929,55.929,55.928,55.928,55.927,55.927,55.926,55.926,55.925,55.925,55.924,55.924,41.952,55.924,55.924,55.925,55.925,55.926,55.926,55.927,55.927,55.928,55.928,55.929,55.929,55.930,55.930,55.931,55.931,55.932,55.932,55.933,55.933,55.934,55.934,55.935,
10,5,0,750,3417,305.7100,0.1900,0.0000,0.0000,0.0000,0.0000,-1.0000,0.0000,99999.0000,99999.0000,0.0000,0.0000,0.2100,0.2100,0.0000,0.1500,4.0000,0.2155,54.2857,87.3457,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-112.1140853 33.46891368, -112.1124594 33.4713908)",0.000000,-1.000000,0.000000,16.000000,16.000000,16.000000,41.951523,67.500000,0.000000,nan,55.935364,41.951523,90.000000,67.500000,55.935364,55.935364,55.935364,90.000000,90.000000,90.000000,0.203807,0.000000,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,nan,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,
10,6,0,826,3416,740.1400,0.4600,53.0000,53.0000,0.0000,0.0000,-1.0000,0.0000,99999.0000,99999.0000,61.4849,0.0006,0.5000,0.5000,0.0000,0.1500,4.0000,0.2155,55.2000,88.8168,24.380000,0.441667,24.380000,0.441667,0.435894,0.435894,"LINESTRING (-112.1067075 33.46753849, -112.1124714 33.472198)",53.000000,-1.000000,0.000615,15.999693,16.000000,16.000307,41.951523,67.500000,6148.491879,7544084647995443.000000,55.935364,41.951523,90.000000,67.500000,55.926766,55.926766,55.931064,89.986166,89.986166,89.993082,0.493465,0.000000,55.935,55.935,55.935,55.934,55.934,55.934,55.933,55.933,55.932,55.932,55.932,55.931,55.931,55.931,55.930,55.930,55.930,55.929,55.929,55.929,55.928,55.928,55.927,55.927,41.952,55.927,55.927,55.928,55.928,55.929,55.929,55.929,55.930,55.930,55.930,55.931,55.931,55.931,55.932,55.932,55.932,55.933,55.933,55.934,55.934,55.934,55.935,55.935,
10,7,0,1075,3415,193.0800,0.1200,101.3333,101.3333,0.0000,0.0000,-1.0000,0.0000,99999.0000,99999.0000,117.5561,0.0012,0.1200,0.1200,0.0000,0.1500,4.0000,0.2155,60.0000,96.5400,12.160000,0.202667,12.160000,0.202667,0.217426,0.217426,"LINESTRING (-112.11464643522936 33.52042827269397, -112.1124213 33.5203305)",101.333332,-1.000000,0.001176,15.999412,16.000000,16.000588,41.951523,67.500000,11755.606961,281460700720229.625000,55.935364,41.951523,90.000000,67.500000,55.918925,55.918925,55.927142,89.973550,89.973550,89.986771,0.128739,0.000000,55.935,55.935,55.934,55.933,55.933,55.932,55.931,55.931,55.930,55.929,55.929,55.928,55.927,55.926,55.926,55.925,55.924,55.924,55.923,55.922,55.922,55.921,55.920,55.920,41.952,55.920,55.920,55.921,55.922,55.922,55.923,55.924,55.924,55.925,55.926,55.926,55.927,55.928,55.929,55.929,55.930,55.931,55.931,55.932,55.933,55.933,55.934,55.935,
10,8,0,1812,3428,466.6100,0.2900,25.3333,25.3333,0.0000,0.0000,-1.0000,0.0000,99999.0000,99999.0000,29.3890,0.0003,0.3100,0.3100,0.0000,0.1500,4.0000,0.2155,56.1290,90.3116,7.346667,0.130889,7.346667,0.130889,0.131347,0.131347,"LINESTRING (-112.1093467 33.51316595, -112.111892 33.5096192)",25.333336,-1.000000,0.000294,15.999853,16.000000,16.000147,41.951523,67.500000,2938.902088,43561395236800640.000000,55.935364,41.951523,90.000000,67.500000,55.931254,55.931254,55.933309,89.993388,89.993388,89.996694,0.311085,0.000000,55.935,55.935,55.935,55.935,55.935,55.935,55.934,55.934,55.934,55.934,55.934,55.933,55.933,55.933,55.933,55.933,55.933,55.932,55.932,55.932,55.932,55.932,55.932,55.931,41.952,55.931,55.932,55.932,55.932,55.932,55.932,55.932,55.933,55.933,55.933,55.933,55.933,55.933,55.934,55.934,55.934,55.934,55.934,55.935,55.935,55.935,55.935,55.935,
10,9,0,1827,3424,418.3400,0.2600,104.0000,104.0000,0.0000,0.0000,-1.0000,0.0000,99999.0000,99999.0000,120.6496,0.0012,0.2800,0.2800,0.0000,0.1500,4.0000,0.2155,55.7143,89.6443,27.039999,0.485333,27.039999,0.485333,0.483488,0.483488,"LINESTRING (-112.1107176 33.49861175, -112.112604 33.4951203)",103.999996,-1.000000,0.001207,15.999397,16.000000,16.000603,41.951523,67.500000,12064.964733,564100879259746.250000,55.935364,41.951523,90.000000,67.500000,55.918492,55.918492,55.926925,89.972854,89.972854,89.986423,0.278935,0.000000,55.935,55.935,55.934,55.933,55.933,55.932,55.931,55.930,55.930,55.929,55.928,55.928,55.927,55.926,55.926,55.925,55.924,55.923,55.923,55.922,55.921,55.921,55.920,55.919,41.952,55.919,55.920,55.921,55.921,55.922,55.923,55.923,55.924,55.925,55.926,55.926,55.927,55.928,55.928,55.929,55.930,55.930,55.931,55.932,55.933,55.933,55.934,55.935,
10,10,0,1827,3425,466.6100,0.2900,0.0000,0.0000,0.0000,0.0000,-1.0000,0.0000,99999.0000,99999.0000,0.0000,0.0000,0.3100,0.3100,0.0000,0.1500,4.0000,0.2155,56.1290,90.3116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"LINESTRING (-112.1107176 33.49861175, -112.113489 33.4951089)",0.000000,-1.000000,0.000000,16.000000,16.000000,16.000000,41.951523,67.500000,0.000000,nan,55.935364,41.951523,90.000000,67.500000,55.935364,55.935364,55.935364,90.000000,90.000000,90.000000,0.311073,0.000000,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,nan,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,55.935,
