name,node_id,osm_node_id,x_coord,y_coord,zone_id,TAZ_ID,geometry,notes,old_node_id,is_boundary,activity_type,poi_id,production_14:00-18:00,atraction_14:00-18:00,production_16:00-17:00,atraction_16:00-17:00
674,674,,-112.1103388,33.5204706,674,674,"POLYGON Z ((-112.10830080656108 33.52408375065946 0, -112.10829638488181 33.52286861033733 0, -112.10830018662845 33.522452401750556 0, -112.10830786655104 33.521657606470356 0, -112.10831328042318 33.52085799596419 0, -112.10830621953201 33.520447466659434 0, -112.1082751500397 33.520028564405244 0, -112.1083064758902 33.51953999662058 0, -112.10827887138609 33.51864425544986 0, -112.10828734632337 33.51774570006754 0, -112.10831125600424 33.51723932076609 0, -112.10833122034651 33.51681651527677 0, -112.10890792110054 33.51680965247778 0, -112.11058796136511 33.51678964482245 0, -112.11069344688129 33.516788345323185 0, -112.11076390475452 33.51678747752791 0, -112.11172695091437 33.51678443107983 0, -112.1120779685899 33.51678331972238 0, -112.11238291223471 33.5167823523064 0, -112.11236714497116 33.5185693934711 0, -112.11235878892148 33.519516372187525 0, -112.11235268589489 33.52020804729331 0, -112.11235392422346 33.52025695839606 0, -112.11235764244594 33.52040369079507 0, -112.11235780507873 33.52043145356289 0, -112.11236499971443 33.521651531883364 0, -112.11237158103194 33.52276789411822 0, -112.11237980429257 33.52416240842557 0, -112.11216591080435 33.524163082532375 0, -112.11210587612894 33.52416414207904 0, -112.11175535657905 33.52416352244889 0, -112.11115455718897 33.5241701145324 0, -112.11054928572986 33.524176752179606 0, -112.10979505809563 33.524145257743896 0, -112.10909627296283 33.52411607469473 0, -112.10830080656108 33.52408375065946 0))", ,,,,,318.1,336,93.55882353,98.82352941
675,675,,-112.1094565,33.50585793,675,675,"POLYGON Z ((-112.10623943553439 33.50229330564904 0, -112.10727116514165 33.50228554262848 0, -112.10730453817982 33.50228516126662 0, -112.10730462428145 33.502285160232454 0, -112.10840702045182 33.502272622668386 0, -112.10841103711508 33.50227258489341 0, -112.10994953481318 33.50225895851888 0, -112.11083342201708 33.50225112225669 0, -112.11257037666975 33.50223570407031 0, -112.11263979996109 33.502235187624244 0, -112.11268786878217 33.50223483116127 0, -112.1128658303313 33.502233863306344 0, -112.11277807291421 33.50405255844937 0, -112.11272762584684 33.504947665855184 0, -112.11272701108777 33.50495856828313 0, -112.1127177441986 33.50512150334355 0, -112.11270847620197 33.50528443930251 0, -112.11268285847278 33.50556143358095 0, -112.11265423342091 33.5058709611301 0, -112.11265357737837 33.505880745523605 0, -112.11263191860368 33.506203806343805 0, -112.11260960254583 33.506536651537914 0, -112.11258111320507 33.50720808626076 0, -112.11256009907703 33.507703346519776 0, -112.11252210846125 33.508598667165174 0, -112.11248361727795 33.509505762746564 0, -112.11244194460816 33.50950706121696 0, -112.11224003914002 33.50951336282638 0, -112.11196676793236 33.50950716557233 0, -112.11192813332134 33.509506290513286 0, -112.11071793713522 33.50951299254832 0, -112.11003100753925 33.50951679238864 0, -112.11002138582204 33.50951684527637 0, -112.10880750193208 33.50953977837437 0, -112.10844602694799 33.50954660430129 0, -112.10627949484991 33.50956608202976 0, -112.10625825356541 33.50866139071141 0, -112.10623778957658 33.507745193383464 0, -112.10623541072607 33.50683875069989 0, -112.10623353698682 33.50654657116241 0, -112.1062320057129 33.50631025811078 0, -112.10622952952912 33.50592785527731 0, -112.10624044855074 33.505445293622515 0, -112.10624051144623 33.50544254607086 0, -112.10624991078598 33.5050272195662 0, -112.1062498888623 33.50502012598854 0, -112.10624708773362 33.50411150145746 0, -112.10624704614622 33.504103287105444 0, -112.10624183927185 33.503204893114585 0, -112.10623943553439 33.50229330564904 0))", ,,,,,2752.44,2842.28,809.5411765,835.9647059
750,750,,-112.1140853,33.46891368,750,750,"POLYGON Z ((-112.11314987672915 33.4771193617564 0, -112.1131715435042 33.47686990838543 0, -112.11316402097933 33.476164301682736 0, -112.11315040073852 33.47538416675028 0, -112.11310740309263 33.47472333843459 0, -112.11302912138902 33.47419176369511 0, -112.11290959942349 33.47343858920846 0, -112.11288403563012 33.473277492904806 0, -112.11281303106014 33.47302435569244 0, -112.1126992320943 33.4725176821363 0, -112.11253338993785 33.47192591369779 0, -112.11249600387782 33.471792507221494 0, -112.11217991080962 33.470973096871994 0, -112.11201127811026 33.4705819090498 0, -112.11140884634356 33.46924825242546 0, -112.11090050081334 33.46812284725841 0, -112.10988333725192 33.46589433149988 0, -112.1098792416959 33.46589442174082 0, -112.10970351862576 33.46553848522454 0, -112.10917152337046 33.46438699856126 0, -112.10881076957246 33.463435647386994 0, -112.10853539979915 33.46247700520978 0, -112.10832501147794 33.46164279808303 0, -112.10832433150348 33.461637876763135 0, -112.10838372890665 33.461639100505465 0, -112.10843680357058 33.461640194236196 0, -112.10870956052739 33.461635122882704 0, -112.10922682575143 33.461629693952425 0, -112.10951959522043 33.46163705751484 0, -112.10981236473341 33.46164441948401 0, -112.1124652859831 33.461637331246564 0, -112.112740733431 33.46163999236318 0, -112.11283151516787 33.46163838349873 0, -112.11292229798498 33.46163677817292 0, -112.11312514657064 33.46163330727236 0, -112.11349753403972 33.461626938544406 0, -112.11592245369634 33.46166188040884 0, -112.11641357829085 33.46167215936262 0, -112.11686813382948 33.46168167037378 0, -112.11724109603662 33.46168947408625 0, -112.1172409552698 33.46169982220145 0, -112.11723791878289 33.461922404975724 0, -112.11723514361533 33.46212579557802 0, -112.117235055559 33.462137076864686 0, -112.11723244347807 33.462469689537116 0, -112.11723437895358 33.46255942880001 0, -112.11723228086461 33.46263966708356 0, -112.11720879910919 33.463537155977626 0, -112.11719758123157 33.46396594495686 0, -112.11714557803906 33.465953562710105 0, -112.11714524486773 33.466008856240464 0, -112.11714179984101 33.466581273773876 0, -112.11713925416706 33.46700412616621 0, -112.11712624432133 33.46916538820604 0, -112.1171238328256 33.46956617838547 0, -112.11711834144275 33.47047842319718 0, -112.11711564358161 33.4709268242459 0, -112.11711090077468 33.47171468310334 0, -112.11710214088716 33.47316965768345 0, -112.11710174927548 33.47323089252169 0, -112.11710108591602 33.473334390309915 0, -112.11710047384707 33.47351998656864 0, -112.11708474190827 33.47682862552449 0, -112.11708359620319 33.47706939911556 0, -112.11707497013039 33.47888321552584 0, -112.11707074288651 33.47977226531422 0, -112.11706967358505 33.47999716702418 0, -112.11706839116788 33.48026737385481 0, -112.11706761595033 33.48043073255817 0, -112.11702277039659 33.48043216752042 0, -112.11610671140946 33.48046148387983 0, -112.11610410868758 33.48046156741703 0, -112.11607474792709 33.48043093356954 0, -112.1157455906983 33.48000887140234 0, -112.11532777297495 33.479318638322844 0, -112.11487006326979 33.478682129254985 0, -112.1143646531765 33.47818655922648 0, -112.1138753638076 33.47773791544589 0, -112.11329379499435 33.477242068057855 0, -112.11314987672915 33.4771193617564 0))", ,,,,,2152.67,1261.88,633.1382353,371.1411765
826,826,,-112.1067075,33.46753849,826,826,"POLYGON Z ((-112.09998538457619 33.46588368790181 0, -112.09998538841663 33.46587120208591 0, -112.10000140377201 33.46401776432523 0, -112.10000910764091 33.46310907108507 0, -112.10001818720873 33.46206948603858 0, -112.10001984348362 33.461879673365345 0, -112.1000204374227 33.46181992865318 0, -112.1000228801239 33.461574425911095 0, -112.10080888147998 33.461503848239076 0, -112.10089803591973 33.461503896129486 0, -112.10109313214085 33.461503786407356 0, -112.1040083115269 33.46165709746273 0, -112.10432576447597 33.46165730355606 0, -112.10433876356517 33.461657414625854 0, -112.10529596272369 33.46166562548848 0, -112.10676454882082 33.46165822649352 0, -112.10694262654718 33.461657266225046 0, -112.10756890355964 33.4616484009895 0, -112.10788265306229 33.461643966243095 0, -112.1080246207172 33.461640627326446 0, -112.10822693633231 33.46163586952206 0, -112.10832376776038 33.46163786501082 0, -112.10832433150348 33.461637876763135 0, -112.10832501147794 33.46164279808303 0, -112.10853539979915 33.46247700520978 0, -112.10881076957246 33.463435647386994 0, -112.10917152337046 33.46438699856126 0, -112.10970351862576 33.46553848522454 0, -112.1098792416959 33.46589442174082 0, -112.10988333725192 33.46589433149988 0, -112.11090050081334 33.46812284725841 0, -112.11140884634356 33.46924825242546 0, -112.11201127811026 33.4705819090498 0, -112.11217991080962 33.470973096871994 0, -112.11249600387782 33.471792507221494 0, -112.11253338993785 33.47192591369779 0, -112.1126992320943 33.4725176821363 0, -112.11281303106014 33.47302435569244 0, -112.11288403563012 33.473277492904806 0, -112.11290959942349 33.47343858920846 0, -112.11302912138902 33.47419176369511 0, -112.11310740309263 33.47472333843459 0, -112.11315040073852 33.47538416675028 0, -112.11316402097933 33.476164301682736 0, -112.1131715435042 33.47686990838543 0, -112.11314987672915 33.4771193617564 0, -112.11314432147445 33.47711462493648 0, -112.1131214956731 33.47709516374442 0, -112.11278809717004 33.47682026145993 0, -112.11244646837247 33.476553936472676 0, -112.11217787129058 33.47631244618896 0, -112.11111145445973 33.47535362607275 0, -112.10990374522139 33.47433996114841 0, -112.10873946434872 33.47336092054648 0, -112.10873799369605 33.473361967891606 0, -112.10872166474974 33.47334810075256 0, -112.10809654531911 33.47281721726966 0, -112.10702718231758 33.47190517743758 0, -112.10585803078466 33.470913561506585 0, -112.10520560948744 33.470360196667905 0, -112.104289736384 33.46954280734447 0, -112.10288670600396 33.46838068194732 0, -112.10268214217896 33.468194666814654 0, -112.10236831772184 33.4679092956032 0, -112.10138525503362 33.467115476050935 0, -112.09998538457619 33.46588368790181 0))", ,,,,,2283.53,1626,671.6264706,478.2352941
1075,1075,,-112.1146464,33.52042827,1075,1075,"POLYGON Z ((-112.11238291223471 33.5167823523064 0, -112.11260796262319 33.51682615231333 0, -112.11292396371078 33.516823150797336 0, -112.11348596360591 33.516818151063575 0, -112.11393796358365 33.516814149947024 0, -112.11478865842152 33.516808071986055 0, -112.11504799578864 33.51679191163783 0, -112.11695361427466 33.516780762546325 0, -112.11694880749798 33.51768270380392 0, -112.11694958586298 33.51773178153001 0, -112.11695454353817 33.51804448319033 0, -112.11695720521566 33.51821243395922 0, -112.11694455035523 33.51856111083851 0, -112.11694312713617 33.51860031410504 0, -112.11693898054006 33.51947205914724 0, -112.11693412067407 33.520384196404365 0, -112.11692801695796 33.521479749085685 0, -112.11692772690215 33.52153373550284 0, -112.11692536760644 33.52197119481757 0, -112.1169215581352 33.52267770969986 0, -112.11692038401085 33.522884360733975 0, -112.11692009567005 33.52293535623304 0, -112.11691422502766 33.52402795144785 0, -112.1168751159013 33.52402860527379 0, -112.11481509396184 33.52403679236077 0, -112.11412424065652 33.52403953035725 0, -112.11285933206602 33.52415524963229 0, -112.11237980429257 33.52416240842557 0, -112.11237158103194 33.52276789411822 0, -112.11236499971443 33.521651531883364 0, -112.11235780507873 33.52043145356289 0, -112.11235764244594 33.52040369079507 0, -112.11235392422346 33.52025695839606 0, -112.11235268589489 33.52020804729331 0, -112.11235878892148 33.519516372187525 0, -112.11236714497116 33.5185693934711 0, -112.11238291223471 33.5167823523064 0))", ,,,,,739.5299999,824.0999999,217.5088235,242.3823529
1812,1812,,-112.1093467,33.51316595,1812,1812,"POLYGON Z ((-112.10623116074463 33.51683366065508 0, -112.10624227685537 33.51586450952474 0, -112.10625190850685 33.51502474229273 0, -112.1062520041557 33.515016280681984 0, -112.10627162721137 33.513198372748825 0, -112.1062908295186 33.51138031885046 0, -112.10628979404984 33.51121452378428 0, -112.10628284477163 33.51010214502326 0, -112.10627949484991 33.50956608202976 0, -112.10844602694799 33.50954660430129 0, -112.10880750193208 33.50953977837437 0, -112.11002138582204 33.50951684527637 0, -112.11003100753925 33.50951679238864 0, -112.11071793713522 33.50951299254832 0, -112.11192813332134 33.509506290513286 0, -112.11196676793236 33.50950716557233 0, -112.11224003914002 33.50951336282638 0, -112.11244194460816 33.50950706121696 0, -112.11248361727795 33.509505762746564 0, -112.11243138015149 33.51262573772082 0, -112.11242386854424 33.51288564031672 0, -112.11241635904894 33.513145542897995 0, -112.11240014878028 33.514907997616575 0, -112.11238291223471 33.5167823523064 0, -112.1120779685899 33.51678331972238 0, -112.11172695091437 33.51678443107983 0, -112.11076390475452 33.51678747752791 0, -112.11069344688129 33.516788345323185 0, -112.11058796136511 33.51678964482245 0, -112.10890792110054 33.51680965247778 0, -112.10833122034651 33.51681651527677 0, -112.10730552207852 33.51683406060612 0, -112.10681147873413 33.51684843002389 0, -112.1067502298931 33.51685021288706 0, -112.10641293364472 33.516839457053216 0, -112.10623116074463 33.51683366065508 0))", ,,,,,989.9600001,1020.23,291.1647059,300.0676471
1827,1827,,-112.1107176,33.49861175,1827,1827,"POLYGON Z ((-112.10846281987448 33.495037480400235 0, -112.10994537110122 33.495027317739556 0, -112.10995370190963 33.49502726146424 0, -112.11019570418183 33.49501734924903 0, -112.11043770424205 33.49500743566306 0, -112.110806116257 33.49500548575201 0, -112.11113967573282 33.495003758063454 0, -112.11141258494372 33.49500228170223 0, -112.11149741928753 33.49500182283935 0, -112.11184902345123 33.49500006486934 0, -112.11249974954984 33.4949966406091 0, -112.11255016309912 33.494994090288685 0, -112.1128581721643 33.4949785005606 0, -112.11289927862923 33.49497642108991 0, -112.11307990760287 33.49497990580302 0, -112.11304347594945 33.496527389069115 0, -112.11303765327435 33.4967746795168 0, -112.1130075204356 33.49805459932615 0, -112.11300081707824 33.49861031244072 0, -112.11299006746101 33.49950145709984 0, -112.11294803143191 33.5004259867685 0, -112.11294795660032 33.500427642394605 0, -112.1128658303313 33.502233863306344 0, -112.11268786878217 33.50223483116127 0, -112.11263979996109 33.502235187624244 0, -112.11257037666975 33.50223570407031 0, -112.11083342201708 33.50225112225669 0, -112.10994953481318 33.50225895851888 0, -112.10841103711508 33.50227258489341 0, -112.10840702045182 33.502272622668386 0, -112.10840707370052 33.5022694369068 0, -112.10841380177436 33.50186775408178 0, -112.10841733596035 33.501656713803335 0, -112.10843746551065 33.50045487433781 0, -112.10844025379569 33.49974501694903 0, -112.10844122162192 33.499498642327616 0, -112.10844278157997 33.49910201680049 0, -112.10844455960586 33.49865005040967 0, -112.10844732224571 33.497758717212385 0, -112.10844739042096 33.49773350396586 0, -112.10844976702559 33.49685160023972 0, -112.10844978317903 33.4968457473243 0, -112.10846281987448 33.495037480400235 0))", ,,,,,625.9900001,915.53,184.1147059,269.2735294
1836,1836,,-112.1093666,33.48401431,1836,1836,"POLYGON Z ((-112.10480581418012 33.48066775792297 0, -112.10531603279897 33.480672724396506 0, -112.10582808506427 33.48067770761176 0, -112.10837998296704 33.48070643258763 0, -112.10843254822632 33.480702049281064 0, -112.10848493596731 33.48069768065405 0, -112.11062012723117 33.48063683144862 0, -112.11066561892969 33.480635534849 0, -112.11140290903072 33.48061204455153 0, -112.11155766603851 33.48060441461877 0, -112.1126084739777 33.480552608277065 0, -112.11297057826495 33.48055060972509 0, -112.11300326226528 33.48055042991516 0, -112.11311726518592 33.480549349382876 0, -112.1132414514314 33.48054817234469 0, -112.11322116415758 33.48167081885938 0, -112.1132081536251 33.48239075477051 0, -112.1131966226544 33.483028803516945 0, -112.1131980292296 33.48354825878919 0, -112.11319911407864 33.48394906319495 0, -112.11319914142081 33.48395878793167 0, -112.1131854352438 33.485072288319124 0, -112.11317225454324 33.48614317448574 0, -112.11315289211389 33.48771622300213 0, -112.11294707864229 33.48772032092332 0, -112.11287214813677 33.487718722747694 0, -112.11279721763377 33.48771712452674 0, -112.1126447092454 33.487721988775 0, -112.11227020380464 33.48773393185952 0, -112.11187618122693 33.48773700032364 0, -112.11158283207348 33.48773928346397 0, -112.11132966878513 33.4877412548295 0, -112.11056872772474 33.48774742327329 0, -112.11055626679412 33.48774669346076 0, -112.11042889258799 33.48773923277594 0, -112.11037945005661 33.48774056883284 0, -112.11002045899461 33.48775026270019 0, -112.10995638749073 33.487751993810846 0, -112.1093184421329 33.48775710697924 0, -112.1088733959463 33.487760543662965 0, -112.10842793864632 33.48776398208974 0, -112.10736154477037 33.48777250567133 0, -112.10627424814233 33.48778104123831 0, -112.10629938971546 33.48700046616964 0, -112.10630274727487 33.48675362211511 0, -112.10631280929626 33.486550389978966 0, -112.106326901395 33.48626574937058 0, -112.10631061620045 33.48577912960849 0, -112.106309800118 33.48575474993058 0, -112.10631142422291 33.48557909548521 0, -112.10631196434883 33.485520797380474 0, -112.10632003076648 33.484778206805125 0, -112.10632032281309 33.48475124657998 0, -112.10634826329846 33.48410057044354 0, -112.10635913917035 33.48384731543562 0, -112.10512400382926 33.48384393289134 0, -112.10486761123455 33.483843228731274 0, -112.10471972034816 33.48379690410412 0, -112.10469161808683 33.48369199483371 0, -112.10471063029937 33.48310296154386 0, -112.10472581964001 33.4823543492475 0, -112.10471036716562 33.48155734336938 0, -112.10479883996318 33.48073275912149 0, -112.10480581418012 33.48066775792297 0))", ,,,,,820.4700001,1095.37,241.3147059,322.1676471
3409,3409,,-112.1146981,33.51315275,3409,3409,"POLYGON Z ((-112.11238291223471 33.5167823523064 0, -112.11240014878028 33.514907997616575 0, -112.11241635904894 33.513145542897995 0, -112.11242386854424 33.51288564031672 0, -112.11243138015149 33.51262573772082 0, -112.11248361727795 33.509505762746564 0, -112.11277681600977 33.50950064986621 0, -112.11478547506053 33.509482522049844 0, -112.11479732374762 33.50948243908168 0, -112.11484451297837 33.509482139085705 0, -112.11573387076132 33.50947648344382 0, -112.11698934763422 33.50946849061414 0, -112.11698042304583 33.51129358809542 0, -112.1169755443589 33.512296404216556 0, -112.11697168416923 33.51310545783881 0, -112.11697144666337 33.51314346448277 0, -112.11697108439027 33.51320113449554 0, -112.11696274694353 33.514925218065294 0, -112.11695788731654 33.515930780116044 0, -112.11695766302205 33.51597545742548 0, -112.11695530647243 33.51644580807991 0, -112.11695381801606 33.51674258105142 0, -112.11695361427466 33.516780762546325 0, -112.11504799578864 33.51679191163783 0, -112.11478865842152 33.516808071986055 0, -112.11393796358365 33.516814149947024 0, -112.11348596360591 33.516818151063575 0, -112.11292396371078 33.516823150797336 0, -112.11260796262319 33.51682615231333 0, -112.11238291223471 33.5167823523064 0))", ,,,,,1891.27,991.9700002,556.2558824,291.7558824
,3410,256833877,-112.112194,33.5203264,3410,,POINT (-112.112194 33.5203264),,1,-1,motorway,,0,6157.83,0,2145.83
