iteration_no,link_id,from_node_id,to_node_id,volume,ref_volume,base_volume,obs_volume,capacity,D,doc,fftt,travel_time,VDF_alpha,VDF_beta,VDF_plf,speed_mph,speed_kmph,VMT,VHT,PMT,PHT,VHT_QVDF,PHT_QVDF,geometry,mod_vol_auto,P,t0,t2,t3,vt2_mph,vt2_kmph,mu,Q_gamma,free_speed_mph,cutoff_speed_mph,free_speed_kmph,cutoff_speed_kmph,congestion_ref_speed_mph,avg_queue_speed_mph,avg_QVDF_period_speed_mph,congestion_ref_speed_kmph,avg_queue_speed_kmph,avg_QVDF_period_speed_kmph,avg_QVDF_period_travel_time,Severe_Congestion_P,spd_mph_14:00,spd_mph_14:05,spd_mph_14:10,spd_mph_14:15,spd_mph_14:20,spd_mph_14:25,spd_mph_14:30,spd_mph_14:35,spd_mph_14:40,spd_mph_14:45,spd_mph_14:50,spd_mph_14:55,spd_mph_15:00,spd_mph_15:05,spd_mph_15:10,spd_mph_15:15,spd_mph_15:20,spd_mph_15:25,spd_mph_15:30,spd_mph_15:35,spd_mph_15:40,spd_mph_15:45,spd_mph_15:50,spd_mph_15:55,spd_mph_16:00,spd_mph_16:05,spd_mph_16:10,spd_mph_16:15,spd_mph_16:20,spd_mph_16:25,spd_mph_16:30,spd_mph_16:35,spd_mph_16:40,spd_mph_16:45,spd_mph_16:50,spd_mph_16:55,spd_mph_17:00,spd_mph_17:05,spd_mph_17:10,spd_mph_17:15,spd_mph_17:20,spd_mph_17:25,spd_mph_17:30,spd_mph_17:35,spd_mph_17:40,spd_mph_17:45,spd_mph_17:50,spd_mph_17:55,Unnamed: 94,diff_pct
10,30,3416,3448,74419.2933,16584.51,0.0,-1.0,9200.0,4651.2058,2.0223,128.4057,129.664,0.15,4.0,1.0,103.981,167.3055,16722759.40014,160825.080262,16722759.40014,160825.080262,294553.308967,294553.308967,"LINESTRING (-112.1124714 33.472198, -112.1126087 33.4726941, -112.1127129 33.4731201, -112.1127869 33.4734747, -112.1128492 33.4738163, -112.1129056 33.4741848)",74419.293312,2.022263,14.988868,16.0,17.011132,13.806727,22.215024,2300.0,118133.257143,105.0,78.75,168.945,126.70875,78.75,22.444453,56.773287,126.70875,36.113125,91.348218,237.481408,1.583333,105.0,102.788,100.576,98.364,96.152,93.939,91.727,89.515,87.303,85.091,82.879,80.667,78.573,68.524,53.067,40.349,31.461,25.455,21.373,18.565,16.625,15.302,14.445,13.963,13.807,13.963,14.445,15.302,16.625,18.565,21.373,25.455,31.461,40.349,53.067,68.524,78.573,80.667,82.879,85.091,87.303,89.515,91.727,93.939,96.152,98.364,100.576,102.788,,348.727718214165
10,104,3475,3476,74392.6266,16584.51,0.0,-1.0,6900.0,6199.3856,2.6954,315.56,346.4041,0.15,4.0,1.0,95.6507,153.902,41081840.200572,429498.45539,41081840.200572,429498.45539,1143823.422171,1143823.422171,"LINESTRING (-112.1129698 33.4850703, -112.1129725 33.4900366)",74392.626624,2.695385,14.652307,16.0,17.347693,4.97007,7.996842,2300.0,290315.200000,105.0,78.75,168.945,126.70875,78.75,8.831195,35.916243,126.70875,14.209393,57.789235,922.529671,2.416667,105.0,101.647,98.293,94.94,91.586,88.233,84.879,81.526,78.228,61.056,40.755,27.549,19.696,14.896,11.819,9.754,8.317,7.289,6.541,5.992,5.591,5.306,5.116,5.006,4.97,5.006,5.116,5.306,5.591,5.992,6.541,7.289,8.317,9.754,11.819,14.896,19.696,27.549,40.755,61.056,78.228,81.526,84.879,88.233,91.586,94.94,98.293,101.647,,348.56692540207706
10,118,3489,3440,74392.6266,16584.51,0.0,-1.0,6900.0,6199.3856,2.6954,69.8229,76.6476,0.15,4.0,1.0,95.6507,153.902,9090035.047187,95033.620528,9090035.047187,95033.620528,253089.806702,253089.806702,"LINESTRING (-112.1129726 33.4901616, -112.1129732 33.4912605)",74392.626624,2.695385,14.652307,16.0,17.347693,4.97007,7.996842,2300.0,64237.028571,105.0,78.75,168.945,126.70875,78.75,8.831195,35.916243,126.70875,14.209393,57.789235,204.124913,2.416667,105.0,101.647,98.293,94.94,91.586,88.233,84.879,81.526,78.228,61.056,40.755,27.549,19.696,14.896,11.819,9.754,8.317,7.289,6.541,5.992,5.591,5.306,5.116,5.006,4.97,5.006,5.116,5.306,5.591,5.992,6.541,7.289,8.317,9.754,11.819,14.896,19.696,27.549,40.755,61.056,78.228,81.526,84.879,88.233,91.586,94.94,98.293,101.647,,348.56692540207706
10,105,3476,3489,74392.6266,16584.51,0.0,-1.0,6900.0,6199.3856,2.6954,7.9429,8.7192,0.15,4.0,1.0,95.6507,153.902,1034057.510074,10810.764591,1034057.510074,10810.764591,28790.803774,28790.803774,"LINESTRING (-112.1129725 33.4900366, -112.1129726 33.4901616)",74392.626624,2.695385,14.652307,16.0,17.347693,4.97007,7.996842,2300.0,7307.428571,105.0,78.75,168.945,126.70875,78.75,8.831195,35.916243,126.70875,14.209393,57.789235,23.220691,2.416667,105.0,101.647,98.293,94.94,91.586,88.233,84.879,81.526,78.228,61.056,40.755,27.549,19.696,14.896,11.819,9.754,8.317,7.289,6.541,5.992,5.591,5.306,5.116,5.006,4.97,5.006,5.116,5.306,5.591,5.992,6.541,7.289,8.317,9.754,11.819,14.896,19.696,27.549,40.755,61.056,78.228,81.526,84.879,88.233,91.586,94.94,98.293,101.647,,348.56692540207706
10,66,3440,3453,74285.96,16584.51,0.0,-1.0,6900.0,6190.4967,2.6915,432.7771,474.8364,0.15,4.0,1.0,95.6995,153.9805,56261214.653482,587894.580953,56261214.653482,587894.580953,1561647.775963,1561647.775963,"LINESTRING (-112.1129732 33.4912605, -112.1129641 33.4916763, -112.1129554 33.4926273, -112.1129489 33.4930676, -112.1129423 33.4935113, -112.1129381 33.4938282, -112.1129199 33.4951937, -112.1128984 33.4968089, -112.1128919 33.4972986, -112.1128876 33.4976112, -112.1128726 33.498071)",74285.959984,2.69152,14.65424,16.0,17.34576,4.996862,8.039951,2300.0,398154.971429,105.0,78.75,168.945,126.70875,78.75,8.876298,36.026827,126.70875,14.281963,57.967165,1261.326724,2.416667,105.0,101.656,98.313,94.969,91.626,88.282,84.939,81.595,78.359,61.618,41.207,27.841,19.885,15.026,11.912,9.825,8.374,7.336,6.581,6.027,5.623,5.336,5.143,5.033,4.997,5.033,5.143,5.336,5.623,6.027,6.581,7.336,8.374,9.825,11.912,15.026,19.885,27.841,41.207,61.618,78.359,81.595,84.939,88.282,91.626,94.969,98.313,101.656,,347.92375535967005
10,76,3448,3454,74243.2933,16584.51,0.0,-1.0,9200.0,4640.2058,2.0175,172.3029,173.9754,0.15,4.0,1.0,103.9906,167.3208,22386580.232367,215275.13066,22386580.232367,215275.13066,393208.416461,393208.416461,"LINESTRING (-112.1129056 33.4741848, -112.1129524 33.4745608, -112.1129876 33.474924, -112.1130171 33.4753381, -112.1130294 33.4756782, -112.1130366 33.4763504, -112.1130423 33.4768924)",74243.293312,2.017481,14.99126,16.0,17.00874,13.914898,22.389071,2300.0,158518.628571,105.0,78.75,168.945,126.70875,78.75,22.596751,56.933116,126.70875,36.358172,91.605383,317.772878,1.583333,105.0,102.793,100.586,98.38,96.173,93.966,91.759,89.552,87.346,85.139,82.932,80.725,78.641,68.993,53.578,40.764,31.779,25.7,21.569,18.727,16.765,15.427,14.56,14.072,13.915,14.072,14.56,15.427,16.765,18.727,21.569,25.7,31.779,40.764,53.578,68.993,78.641,80.725,82.932,85.139,87.346,89.552,91.759,93.966,96.173,98.38,100.586,102.793,,347.6664869809238
10,108,3479,3477,74243.2933,16584.51,0.0,-1.0,9200.0,4640.2058,2.0175,169.6,171.2463,0.15,4.0,1.0,103.9906,167.3208,22035409.455002,211898.181872,22035409.455002,211898.181872,387040.287883,387040.287883,"LINESTRING (-112.1130403 33.4780818, -112.1130325 33.4795502, -112.11303 33.4804112, -112.1130296 33.4804335, -112.1130246 33.4807286, -112.1130242 33.4807509)",74243.293312,2.017481,14.99126,16.0,17.00874,13.914898,22.389071,2300.0,156032.000000,105.0,78.75,168.945,126.70875,78.75,22.596751,56.933116,126.70875,36.358172,91.605383,312.788081,1.583333,105.0,102.793,100.586,98.38,96.173,93.966,91.759,89.552,87.346,85.139,82.932,80.725,78.641,68.993,53.578,40.764,31.779,25.7,21.569,18.727,16.765,15.427,14.56,14.072,13.915,14.072,14.56,15.427,16.765,18.727,21.569,25.7,31.779,40.764,53.578,68.993,78.641,80.725,82.932,85.139,87.346,89.552,91.759,93.966,96.173,98.38,100.586,102.793,,347.6664869809238
10,107,3478,3479,74243.2933,16584.51,0.0,-1.0,9200.0,4640.2058,2.0175,40.3029,40.6941,0.15,4.0,1.0,103.9906,167.3208,5236379.477295,50354.375901,5236379.477295,50354.375901,91974.230136,91974.230136,"LINESTRING (-112.1130447 33.4774475, -112.1130403 33.4780818)",74243.293312,2.017481,14.99126,16.0,17.00874,13.914898,22.389071,2300.0,37078.628571,105.0,78.75,168.945,126.70875,78.75,22.596751,56.933116,126.70875,36.358172,91.605383,74.329324,1.583333,105.0,102.793,100.586,98.38,96.173,93.966,91.759,89.552,87.346,85.139,82.932,80.725,78.641,68.993,53.578,40.764,31.779,25.7,21.569,18.727,16.765,15.427,14.56,14.072,13.915,14.072,14.56,15.427,16.765,18.727,21.569,25.7,31.779,40.764,53.578,68.993,78.641,80.725,82.932,85.139,87.346,89.552,91.759,93.966,96.173,98.38,100.586,102.793,,347.6664869809238
10,82,3454,3478,74243.2933,16584.51,0.0,-1.0,9200.0,4640.2058,2.0175,35.2686,35.6109,0.15,4.0,1.0,103.9906,167.3208,4582296.063217,44064.541055,4582296.063217,44064.541055,80485.601645,80485.601645,"LINESTRING (-112.1130423 33.4768924, -112.1130447 33.4774475)",74243.293312,2.017481,14.99126,16.0,17.00874,13.914898,22.389071,2300.0,32447.085714,105.0,78.75,168.945,126.70875,78.75,22.596751,56.933116,126.70875,36.358172,91.605383,65.044745,1.583333,105.0,102.793,100.586,98.38,96.173,93.966,91.759,89.552,87.346,85.139,82.932,80.725,78.641,68.993,53.578,40.764,31.779,25.7,21.569,18.727,16.765,15.427,14.56,14.072,13.915,14.072,14.56,15.427,16.765,18.727,21.569,25.7,31.779,40.764,53.578,68.993,78.641,80.725,82.932,85.139,87.346,89.552,91.759,93.966,96.173,98.38,100.586,102.793,,347.6664869809238
10,106,3477,3475,74243.2933,16584.51,0.0,-1.0,9200.0,4640.2058,2.0175,274.4686,277.1329,0.15,4.0,1.0,103.9906,167.3208,35660538.64362,342920.939073,35660538.64362,342920.939073,626358.460499,626358.460499,"LINESTRING (-112.1130242 33.4807509, -112.1130127 33.4819139, -112.1130054 33.4824746, -112.1129857 33.4839186, -112.1129698 33.4850703)",74243.293312,2.017481,14.99126,16.0,17.00874,13.914898,22.389071,2300.0,252511.085714,105.0,78.75,168.945,126.70875,78.75,22.596751,56.933116,126.70875,36.358172,91.605383,506.193973,1.583333,105.0,102.793,100.586,98.38,96.173,93.966,91.759,89.552,87.346,85.139,82.932,80.725,78.641,68.993,53.578,40.764,31.779,25.7,21.569,18.727,16.765,15.427,14.56,14.072,13.915,14.072,14.56,15.427,16.765,18.727,21.569,25.7,31.779,40.764,53.578,68.993,78.641,80.725,82.932,85.139,87.346,89.552,91.759,93.966,96.173,98.38,100.586,102.793,,347.6664869809238
