o_zone_id,d_zone_id,volume
674,674,1,
674,675,1,
674,750,1,
674,826,1,
674,1075,1,
674,1812,1,
674,1827,1,
674,1836,1,
674,3409,1,
674,3410,1,
674,3411,1,
674,3412,1,
674,3413,1,
675,674,1,
675,675,1,
675,750,1,
675,826,1,
675,1075,1,
675,1812,1,
675,1827,1,
675,1836,1,
675,3409,1,
675,3410,1,
675,3411,1,
675,3412,1,
675,3413,1,
750,674,1,
750,675,1,
750,750,1,
750,826,1,
750,1075,1,
750,1812,1,
750,1827,1,
750,1836,1,
750,3409,1,
750,3410,1,
750,3411,1,
750,3412,1,
750,3413,1,
826,674,1,
826,675,1,
826,750,1,
826,826,1,
826,1075,1,
826,1812,1,
826,1827,1,
826,1836,1,
826,3409,1,
826,3410,1,
826,3411,1,
826,3412,1,
826,3413,1,
1075,674,1,
1075,675,1,
1075,750,1,
1075,826,1,
1075,1075,1,
1075,1812,1,
1075,1827,1,
1075,1836,1,
1075,3409,1,
1075,3410,1,
1075,3411,1,
1075,3412,1,
1075,3413,1,
1812,674,1,
1812,675,1,
1812,750,1,
1812,826,1,
1812,1075,1,
1812,1812,1,
1812,1827,1,
1812,1836,1,
1812,3409,1,
1812,3410,1,
1812,3411,1,
1812,3412,1,
1812,3413,1,
1827,674,1,
1827,675,1,
1827,750,1,
1827,826,1,
1827,1075,1,
1827,1812,1,
1827,1827,1,
1827,1836,1,
1827,3409,1,
1827,3410,1,
1827,3411,1,
1827,3412,1,
1827,3413,1,
1836,674,1,
1836,675,1,
1836,750,1,
1836,826,1,
1836,1075,1,
1836,1812,1,
1836,1827,1,
1836,1836,1,
1836,3409,1,
1836,3410,1,
1836,3411,1,
1836,3412,1,
1836,3413,1,
3409,674,1,
3409,675,1,
3409,750,1,
3409,826,1,
3409,1075,1,
3409,1812,1,
3409,1827,1,
3409,1836,1,
3409,3409,1,
3409,3410,1,
3409,3411,1,
3409,3412,1,
3409,3413,1,
3410,674,1,
3410,675,1,
3410,750,1,
3410,826,1,
3410,1075,1,
3410,1812,1,
3410,1827,1,
3410,1836,1,
3410,3409,1,
3410,3410,1,
3410,3411,1,
3410,3412,1,
3410,3413,1,
3411,674,1,
3411,675,1,
3411,750,1,
3411,826,1,
3411,1075,1,
3411,1812,1,
3411,1827,1,
3411,1836,1,
3411,3409,1,
3411,3410,1,
3411,3411,1,
3411,3412,1,
3411,3413,1,
3412,674,1,
3412,675,1,
3412,750,1,
3412,826,1,
3412,1075,1,
3412,1812,1,
3412,1827,1,
3412,1836,1,
3412,3409,1,
3412,3410,1,
3412,3411,1,
3412,3412,1,
3412,3413,1,
3413,674,1,
3413,675,1,
3413,750,1,
3413,826,1,
3413,1075,1,
3413,1812,1,
3413,1827,1,
3413,1836,1,
3413,3409,1,
3413,3410,1,
3413,3411,1,
3413,3412,1,
3413,3413,1,
